 year | airline_code | boston_flight_count | boston_flight_percentage 
------+--------------+---------------------+--------------------------
 2016 | AA           |                2139 |       2.9357672248147131
 2016 | B6           |                3323 |      15.0219248677727047
 2016 | DL           |                1199 |       1.7443298369146166
 2016 | NK           |                 183 |   1.70406928019368656299
 2016 | UA           |                 698 |       1.8165256994144437
 2016 | VX           |                 138 |       2.6411483253588517
 2017 | AA           |                1918 |       2.6582769708393392
 2017 | B6           |                3728 |      15.4836566017360967
 2017 | DL           |                1214 |       1.7586301806434790
 2017 | NK           |                 319 |       2.6300601863302828
 2017 | UA           |                 848 |       2.0108605439757179
 2017 | VX           |                 138 |       2.4446412754650133
 2018 | 9E           |                 383 |       2.2370188657204603
 2018 | AA           |                1939 |       2.6885745978924016
 2018 | B6           |                3758 |      16.0598290598290598
 2018 | DL           |                1265 |       1.8145305888259342
 2018 | NK           |                 450 |       3.2582723915719354
 2018 | UA           |                 943 |       2.1197680169041946
 2018 | VX           |                  88 |       1.5381926236671911
 2018 | YX           |                 464 |       1.9465536770566766
 2019 | 9E           |                 415 |       2.0899430931157778
 2019 | AA           |                1977 |       2.6183349667576087
 2019 | AS           |                 206 |   1.01402904257937484617
 2019 | B6           |                4014 |      17.1077867280398926
 2019 | DL           |                1338 |       1.8202100451651521
 2019 | NK           |                 380 |       2.5294548359182587
 2019 | UA           |                 915 |       1.9797481500714008
 2019 | YX           |                 499 |       2.0265605328351541
(28 rows)

