 plane_tail_number | year |      daily_avg      
-------------------+------+---------------------
 328NV             | 2019 |  5.2105263157894737
 7819A             | 2016 |  5.1304347826086957
 7820L             | 2016 |  5.4482758620689655
 N101HQ            | 2018 |  5.1666666666666667
 N101HQ            | 2019 |  5.2000000000000000
 N102HQ            | 2018 |  5.3548387096774194
 N102HQ            | 2019 |  5.1612903225806452
 N104HQ            | 2018 |  5.2413793103448276
 N105HQ            | 2018 |  5.2666666666666667
 N105HQ            | 2019 |  5.1612903225806452
 N106HQ            | 2018 |  5.4193548387096774
 N107HQ            | 2018 |  5.4000000000000000
 N107HQ            | 2019 |  5.0357142857142857
 N108HQ            | 2018 |  5.4000000000000000
 N109HQ            | 2018 |  5.4444444444444444
 N109HQ            | 2019 |  5.2258064516129032
 N110HQ            | 2019 |  5.2068965517241379
 N111HQ            | 2018 |  5.4400000000000000
 N111HQ            | 2019 |  5.0714285714285714
 N112HQ            | 2018 |  5.2413793103448276
 N112HQ            | 2019 |  5.1612903225806452
 N113HQ            | 2019 |  5.2580645161290323
 N114HQ            | 2018 |  5.0689655172413793
 N11526            | 2016 |  5.8666666666666667
 N11526            | 2017 |  6.2333333333333333
 N11535            | 2016 |  5.1612903225806452
 N11535            | 2018 |  5.1481481481481481
 N11536            | 2018 |  5.2173913043478261
 N11544            | 2016 |  5.2857142857142857
 N11547            | 2016 |  5.1379310344827586
 N11547            | 2018 |  5.2962962962962963
 N11551            | 2018 |  5.0714285714285714
 N11565            | 2016 |  5.2758620689655172
 N11565            | 2017 |  5.2142857142857143
 N117HQ            | 2019 |  5.4838709677419355
 N118HQ            | 2018 |  5.1379310344827586
 N118HQ            | 2019 |  5.0769230769230769
 N119HQ            | 2018 |  5.0344827586206897
 N119HQ            | 2019 |  5.3333333333333333
 N120HQ            | 2018 |  5.5666666666666667
 N120HQ            | 2019 |  5.0666666666666667
 N121HQ            | 2018 |  5.1612903225806452
 N123HQ            | 2018 |  5.1111111111111111
 N124HQ            | 2018 |  5.6875000000000000
 N124HQ            | 2019 |  5.1000000000000000
 N12528            | 2016 |  5.7857142857142857
 N12528            | 2017 |  5.9677419354838710
 N12528            | 2018 |  5.1818181818181818
 N12530            | 2016 |  6.0689655172413793
 N12530            | 2017 |  6.2333333333333333
 N12552            | 2016 |  5.2142857142857143
 N12552            | 2018 |  5.0344827586206897
 N12563            | 2017 |  5.0714285714285714
 N12564            | 2016 |  5.4482758620689655
 N12567            | 2017 |  5.2666666666666667
 N12567            | 2018 |  5.1612903225806452
 N12569            | 2016 |  5.3000000000000000
 N125HQ            | 2018 |  5.1935483870967742
 N126HQ            | 2018 |  5.5806451612903226
