 flight_date | plane_tail_number | flight1_arrival_time | flight2_departure_time | origin_city_name |    stop_city_name     | dest_city_name | total_time | total_distance 
-------------+-------------------+----------------------+------------------------+------------------+-----------------------+----------------+------------+----------------
 31/1/2017   | N436UA            | 19:05                | 20:53                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        308 |           2588
 11/1/2017   | N860DN            | 16:52                | 18:00                  | Seattle, WA      | Minneapolis, MN       | Boston, MA     |        312 |           2523
 31/1/2018   | N3732J            | 22:03                | 23:19                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        313 |           2794
 3/1/2019    | N14231            | 12:28                | 14:16                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        315 |           2588
 14/1/2016   | N38454            | 19:57                | 21:08                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        316 |           2588
 14/1/2017   | N3KGAA            | 17:04                | 18:29                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        317 |           2588
 14/1/2018   | N449UA            | 19:44                | 21:07                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        317 |           2588
 5/1/2019    | N908AA            | 06:01                | 07:25                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        318 |           2588
 9/1/2017    | N355NW            | 11:41                | 13:08                  | Seattle, WA      | Minneapolis, MN       | Boston, MA     |        320 |           2523
 9/1/2017    | N858DZ            | 16:45                | 18:05                  | Seattle, WA      | Minneapolis, MN       | Boston, MA     |        322 |           2523
 29/1/2016   | N38417            | 19:53                | 21:12                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        322 |           2588
 12/1/2017   | N38443            | 12:16                | 13:44                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        322 |           2588
 1/1/2019    | N373DA            | 16:09                | 17:15                  | Seattle, WA      | Salt Lake City, UT    | Boston, MA     |        322 |           2794
 29/1/2018   | N24202            | 11:54                | 13:38                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        323 |           2588
 12/1/2017   | N3GCAA            | 17:17                | 18:28                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        323 |           2588
 17/1/2019   | N69840            | 20:33                | 21:28                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        323 |           2588
 28/1/2016   | N38417            | 19:56                | 21:04                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        324 |           2588
 18/1/2018   | N73283            | 11:53                | 13:43                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        324 |           2588
 13/1/2017   | N3BFAA            | 17:13                | 18:35                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        325 |           2588
 31/1/2016   | N423UA            | 16:05                | 17:34                  | Seattle, WA      | Chicago, IL           | Boston, MA     |        325 |           2588
