 plane_tail_number | first_owner | second_owner 
-------------------+-------------+--------------
 N131EV            | EV          | 9E
 N132EV            | EV          | 9E
 N133EV            | EV          | 9E
 N134EV            | EV          | 9E
 N135EV            | EV          | 9E
 N136EV            | EV          | 9E
 N137EV            | EV          | 9E
 N138EV            | EV          | 9E
 N146PQ            | EV          | 9E
 N147PQ            | EV          | 9E
 N153PQ            | EV          | 9E
 N166PQ            | EV          | 9E
 N176PQ            | EV          | 9E
 N181PQ            | EV          | 9E
 N186PQ            | EV          | 9E
 N195PQ            | EV          | 9E
 N197PQ            | EV          | 9E
 N200PQ            | EV          | 9E
 N228PQ            | EV          | 9E
 N232PQ            | EV          | 9E
 N281VA            | VX          | AS
 N282VA            | VX          | AS
 N283VA            | VX          | AS
 N284VA            | VX          | AS
 N285VA            | VX          | AS
 N286VA            | VX          | AS
 N361VA            | VX          | AS
 N362VA            | VX          | AS
 N363VA            | VX          | AS
 N364VA            | VX          | AS
 N365VA            | VX          | AS
 N371CA            | EV          | 9E
 N391CA            | EV          | 9E
 N398CA            | EV          | 9E
 N504AE            | MQ          | OH
 N505AE            | MQ          | OH
 N506AE            | MQ          | OH
 N507AE            | MQ          | OH
 N508AE            | MQ          | OH
 N519AE            | MQ          | OH
 N520DC            | MQ          | OH
 N521AE            | MQ          | OH
 N521VA            | VX          | AS
 N522VA            | VX          | AS
 N523VA            | VX          | AS
 N524VA            | VX          | AS
 N525VA            | VX          | AS
 N526EA            | MQ          | OH
 N526VA            | VX          | AS
 N527VA            | VX          | AS
 N528VA            | VX          | AS
 N529VA            | VX          | AS
 N530EA            | MQ          | OH
 N530VA            | VX          | AS
 N538CA            | EV          | 9E
 N582CA            | EV          | 9E
 N603QX            | OO          | EV
 N606LR            | EV          | 9E
 N607LR            | EV          | 9E
 N613QX            | OO          | EV
 N616QX            | OO          | EV
 N617QX            | OO          | EV
 N621VA            | VX          | AS
 N622VA            | VX          | AS
 N623VA            | VX          | AS
 N624VA            | VX          | AS
 N625VA            | VX          | AS
 N626VA            | VX          | AS
 N627VA            | VX          | AS
 N628VA            | VX          | AS
 N629VA            | VX          | AS
 N632VA            | VX          | AS
 N633VA            | VX          | AS
 N634VA            | VX          | AS
 N635VA            | VX          | AS
 N636VA            | VX          | AS
 N637VA            | VX          | AS
 N638VA            | VX          | AS
 N639VA            | VX          | AS
 N640VA            | VX          | AS
 N641VA            | VX          | AS
 N642VA            | VX          | AS
 N667GB            | EV          | MQ
 N671AE            | EV          | MQ
 N673AE            | EV          | MQ
 N675AE            | EV          | MQ
 N676AE            | EV          | MQ
 N676CA            | EV          | 9E
 N677AE            | EV          | MQ
 N678AE            | EV          | MQ
 N678CA            | EV          | 9E
 N680AE            | EV          | MQ
 N684JW            | EV          | MQ
 N685AE            | EV          | MQ
 N686BR            | EV          | 9E
 N687JS            | EV          | MQ
 N691CA            | EV          | 9E
 N695CA            | EV          | 9E
 N730EV            | EV          | OO
 N740EV            | EV          | OO
 N744EV            | EV          | OO
 N748EV            | EV          | OO
 N750EV            | EV          | OO
 N751EV            | EV          | OO
 N752EV            | EV          | OO
 N753EV            | EV          | OO
 N755EV            | EV          | OO
 N758EV            | EV          | OO
 N759EV            | EV          | OO
 N760EV            | EV          | OO
 N761ND            | EV          | OO
 N781CA            | OO          | EV
 N783CA            | OO          | EV
 N835VA            | VX          | AS
 N836VA            | VX          | AS
 N837VA            | VX          | AS
 N838VA            | VX          | AS
 N839VA            | VX          | AS
 N840VA            | VX          | AS
 N841VA            | VX          | AS
 N842VA            | VX          | AS
 N843VA            | VX          | AS
 N844VA            | VX          | AS
 N845VA            | VX          | AS
 N846VA            | VX          | AS
 N847VA            | VX          | AS
 N848VA            | VX          | AS
 N849VA            | VX          | AS
 N851VA            | VX          | AS
 N852VA            | VX          | AS
 N853VA            | VX          | AS
 N854VA            | VX          | AS
 N855VA            | VX          | AS
 N862AS            | OO          | EV
 N868AS            | EV          | OO
 N868AS            | OO          | EV
 N870AS            | EV          | OO
 N870AS            | OO          | EV
 N871AS            | EV          | OO
 N871AS            | OO          | EV
 N873AS            | EV          | OO
 N876AS            | EV          | OO
 N877AS            | EV          | OO
 N877AS            | OO          | EV
 N878AS            | EV          | OO
 N879AS            | EV          | OO
 N880AS            | EV          | OO
 N881AS            | EV          | OO
 N881AS            | OO          | EV
 N882AS            | EV          | OO
 N884AS            | EV          | OO
 N884AS            | OO          | EV
 N900EV            | EV          | OO
 N901EV            | EV          | OO
 N902EV            | EV          | OO
 N903EV            | EV          | OO
 N903EV            | OO          | EV
 N904EV            | EV          | OO
 N905EV            | EV          | OO
 N905EV            | OO          | EV
 N906EV            | EV          | OO
 N907EV            | EV          | OO
 N908EV            | EV          | OO
 N908EV            | OO          | EV
 N909EV            | EV          | OO
 N909EV            | OO          | EV
 N914EV            | EV          | OO
 N916EV            | EV          | OO
 N917EV            | EV          | OO
 N919EV            | EV          | OO
 N920EV            | EV          | OO
 N921EV            | EV          | OO
 N921VA            | VX          | AS
 N922EV            | EV          | OO
 N922VA            | VX          | AS
 N923EV            | EV          | OO
 N923VA            | VX          | AS
 N924EV            | EV          | 9E
 N925EV            | EV          | OO
 N925VA            | VX          | AS
 N926EV            | EV          | OO
 N927EV            | EV          | 9E
 N931EV            | EV          | OO
 N933EV            | EV          | OO
 N936EV            | EV          | OO
 N937EV            | EV          | OO
 N979EV            | EV          | OO
 N980EV            | EV          | 9E
 N981EV            | EV          | 9E
(189 rows)

